DATE_ID,FULL_DATE,DAY_VALUE,WEEKDAY_NAME,IS_WEEKDAY,MONTH_VALUE,MONTH_NAME,FIRST_DAY_OF_MONTH,LAST_DAY_OF_MONTH,QUARTER_VALUE,FIRST_DAY_OF_QUARTER,LAST_DAY_OF_QUARTER,FIRST_DAY_OF_YEAR,LAST_DAY_OF_YEAR
20190504,2019-05-04,4,Saturday,0,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190505,2019-05-05,5,Sunday,0,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190506,2019-05-06,6,Monday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190507,2019-05-07,7,Tuesday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190508,2019-05-08,8,Wednesday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190509,2019-05-09,9,Thursday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190510,2019-05-10,10,Friday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190511,2019-05-11,11,Saturday,0,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190512,2019-05-12,12,Sunday,0,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190513,2019-05-13,13,Monday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190514,2019-05-14,14,Tuesday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190515,2019-05-15,15,Wednesday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190516,2019-05-16,16,Thursday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190517,2019-05-17,17,Friday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190518,2019-05-18,18,Saturday,0,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190519,2019-05-19,19,Sunday,0,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190520,2019-05-20,20,Monday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190521,2019-05-21,21,Tuesday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190522,2019-05-22,22,Wednesday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190523,2019-05-23,23,Thursday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190524,2019-05-24,24,Friday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190525,2019-05-25,25,Saturday,0,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190526,2019-05-26,26,Sunday,0,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190527,2019-05-27,27,Monday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190528,2019-05-28,28,Tuesday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190529,2019-05-29,29,Wednesday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190530,2019-05-30,30,Thursday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190531,2019-05-31,31,Friday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190601,2019-06-01,1,Saturday,0,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190602,2019-06-02,2,Sunday,0,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190603,2019-06-03,3,Monday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190604,2019-06-04,4,Tuesday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190605,2019-06-05,5,Wednesday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190606,2019-06-06,6,Thursday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190607,2019-06-07,7,Friday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190608,2019-06-08,8,Saturday,0,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190609,2019-06-09,9,Sunday,0,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190610,2019-06-10,10,Monday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190611,2019-06-11,11,Tuesday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190612,2019-06-12,12,Wednesday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190613,2019-06-13,13,Thursday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190614,2019-06-14,14,Friday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190615,2019-06-15,15,Saturday,0,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190616,2019-06-16,16,Sunday,0,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190617,2019-06-17,17,Monday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
